catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
418857311,E-M1MarkIII,OLYMPUS M.100-400mm F5.0-6.3,200,342 mm,Flash did not fire,f/6.3,1/800 sec,4023 pixels x 2721 pixels,6.82 MB,,,,,Marbled Duck,Marmaronetta angustirostris,David Fernández,2022-02-20,2022,5.0,25,Europe,5.0
144333121,ILCE-7M3,FE 100-400mm F4.5-5.6 GM OSS,1600,400 mm,"Flash did not fire, auto",f/7.1,1/320 sec,3655 pixels x 2438 pixels,4.95 MB,,,,,Crescent-chested Warbler,Oreothlypis superciliosa,Patrick Van Thull,2019-03-08,2019,5.0,31,North America,5.0
622728122,ILCE-6700,FE 200-600mm F5.6-6.3 G OSS,500,600 mm,Flash did not fire,f/6.3,1/500 sec,3859 pixels x 2588 pixels,3.13 MB,,,,,Coppersmith Barbet,Psilopogon haemacephalus,John Russell,2024-08-20,2024,5.0,62,Asia,5.0
512323911,NIKON D500,300.0 mm f/4.0,2500,420 mm,Flash did not fire,f/5.6,1/1000 sec,4028 pixels x 2685 pixels,5.93 MB,,,,,Yellow-rumped Cacique,Cacicus cela,Charlie Bostwick,2022-01-06,2022,5.0,27,South America,5.0
205901211,Canon EOS 5D Mark III,,,400 mm,"Flash did not fire, auto",f/5.6,1/1250 sec,3200 pixels x 2133 pixels,1.37 MB,,,,,Yellow-throated Bunting,Emberiza elegans,Sicheng Wan,2018-01-26,2018,5.0,22,Asia,5.0
224625911,NIKON D800E,400.0 mm f/2.8,500,400 mm,"Flash did not fire, auto",f/5.0,1/320 sec,1920 pixels x 1080 pixels,795.17 KB,,,,,Himalayan Griffon,Gyps himalayensis,Thierry NOGARO,2015-02-15,2015,5.0,22,Asia,5.0
624401604,OM-1,OLYMPUS M.100-400mm F5.0-6.3,200,400 mm,,f/8.0,1/1000 sec,4116 pixels x 2983 pixels,2.9 MB,,,,,Little Bustard,Tetrax tetrax,Guillermo Risco,2024-10-01,2024,5.0,25,Europe,5.0
457036781,DC-G9,,1250,400 mm,Flash did not fire,f/4.5,1/4000 sec,3135 pixels x 2354 pixels,1.34 MB,,,,,Rufous Treecreeper,Climacteris rufus,Peter Lowe,2022-06-06,2022,5.0,33,Australia,5.0
622492996,Canon EOS R5,EF500mm f/4L IS USM,4000,500 mm,Flash did not fire,f/4.0,1/30 sec,8192 pixels x 5464 pixels,18.17 MB,,,,,Malayan Banded-Pitta,Hydrornis irena,Jan-Peter  Kelder,2024-08-11,2024,5.0,56,Asia,5.0
412820391,Canon EOS 90D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,500,552 mm,Flash did not fire,f/7.1,1/2000 sec,3210 pixels x 2297 pixels,1.76 MB,,,,,Red-crested Pochard,Netta rufina,Javier Salcedo Castro,2022-02-01,2022,5.0,35,Europe,5.0
205344891,NIKON D800,300.0 mm f/2.8,2000,300 mm,"Flash did not fire, auto",f/4.5,1/250 sec,4364 pixels x 2912 pixels,2.22 MB,,,,,Black-fronted Piping-Guan,Pipile jacutinga,Adrian Eisen Rupp,2015-08-26,2015,5.0,25,South America,5.0
35706581,NIKON D7100,300.0 mm f/2.8,640,300 mm,"Flash did not fire, auto",f/5.0,1/2500 sec,2656 pixels x 1771 pixels,1.11 MB,,,,,Blue Dacnis,Dacnis cayana,Hudson - BirdsRio,2016-09-02,2016,5.0,25,South America,5.0
54428691,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM +1.4x III,400,328 mm,"Flash did not fire, auto",f/7.1,1/500 sec,1500 pixels x 2100 pixels,1.46 MB,,,,,Cuban Trogon,Priotelus temnurus,R Dennis Ringer,2017-03-19,2017,5.0,43,North America,5.0
609645775,DSC-RX10M4,,320,220 mm,Flash did not fire,f/4.0,1/250 sec,3212 pixels x 2409 pixels,4.46 MB,,,,,Winter Wren,Troglodytes hiemalis,Stephen Hurst,2022-10-06,2022,5.0,80,North America,5.0
205716931,Canon EOS 60D,205-390mm,800,279 mm,Flash fired,f/5.6,0.02 sec,3000 pixels x 2000 pixels,7.28 MB,,,,,Savanna Nightjar,Caprimulgus affinis,Rusman Budi  Prasetyo,2015-05-03,2015,5.0,23,Asia,5.0
351401471,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,250,600 mm,Flash did not fire,f/7.1,1/500 sec,4368 pixels x 2912 pixels,9.73 MB,,,,,Arabian Waxbill,Estrilda rufibarba,Ibrahim Alshwamin,2021-05-24,2021,5.0,23,Asia,5.0
553725421,NIKON Z 9,NIKKOR Z 800mm f/6.3 VR S,1250,800 mm,Flash did not fire,f/6.3,1/60 sec,3840 pixels x 2160 pixels,4.82 MB,,,,,Red-crowned Barbet,Psilopogon rafflesii,Soong Ming Wong,2023-03-13,2023,5.0,23,Asia,5.0
121598351,NIKON D500,,640,500 mm,Flash did not fire,f/13.0,1/640 sec,1999 pixels x 1600 pixels,232.68 KB,,,,,Blue Finch,Rhopospina caerulescens,Tini & Jacob Wijpkema,2018-10-12,2018,5.0,24,South America,5.0
560823251,NIKON D7500,,560,500 mm,"Flash did not fire, auto",f/5.6,1/500 sec,3754 pixels x 3003 pixels,2.5 MB,,,,,Eastern Screech-Owl,Megascops asio,jen brumfield,2023-04-21,2023,5.0,31,North America,5.0
167647421,NIKON D500,,400,,Flash did not fire,,,5568 pixels x 3712 pixels,1.8 MB,,,,,Maned Duck,Chenonetta jubata,Ryan Kilgower,2019-07-10,2019,5.0,36,Australia,5.0
545185171,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,Flash did not fire,f/5.6,1/640 sec,4558 pixels x 3039 pixels,1.75 MB,,,,,Spotted Towhee,Pipilo maculatus,Tom Fangrow,2023-03-13,2023,5.0,31,North America,5.0
519262071,NIKON D850,150.0-600.0 mm f/5.0-6.3,5000,600 mm,Flash did not fire,f/6.3,1/1250 sec,4308 pixels x 2842 pixels,609.19 KB,,,,,Greater Pewee,Contopus pertinax,Noah Brinkman,2023-01-01,2023,5.0,31,North America,5.0
554973721,COOLPIX P900,,200,250 mm,Flash did not fire,f/6.3,1/500 sec,4386 pixels x 3383 pixels,2.76 MB,,,,,Chukar,Alectoris chukar,Tuvia Kahn,2023-04-05,2023,5.0,21,Asia,5.0
334850601,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,320,594 mm,Flash did not fire,f/6.3,1/3200 sec,2248 pixels x 1499 pixels,421.17 KB,,,,,Bar-tailed Lark,Ammomanes cinctura,Metin Tuncer,2021-05-06,2021,5.0,21,Asia,5.0
614128872,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,1000,400 mm,Flash did not fire,f/5.6,1/2000 sec,3472 pixels x 1904 pixels,1.84 MB,,,,,Trumpeter Swan,Cygnus buccinator,Andrew Thomas 🦅🪶,2024-01-28,2024,5.0,32,North America,5.0
246396301,Canon EOS 7D,,,400 mm,"Flash did not fire, auto",f/6.4,61/125000 sec,3957 pixels x 2666 pixels,2.31 MB,,,,,Asian Rosy-Finch,Leucosticte arctoa,Tuvshintugs Sukhbaatar,2020-06-26,2020,5.0,20,Asia,5.0
609402754,Canon EOS R6,EF100-400mm f/4.5-5.6L IS II USM,1250,400 mm,Flash did not fire,f/7.1,1/800 sec,3000 pixels x 2000 pixels,3.6 MB,,,,,Rainbow-bearded Thornbill,Chalcostigma herrani,Heiler Uribe,2023-09-29,2023,5.0,36,South America,5.0
609578762,Canon EOS 5D Mark IV,150-600mm F5-6.3 DG OS HSM | Contemporary 015,320,600 mm,Flash did not fire,f/7.1,1/1600 sec,5767 pixels x 3845 pixels,11.97 MB,,,,,Gentoo Penguin,Pygoscelis papua,Shifaan Thowfeequ,2022-11-09,2022,5.0,29,Antarctica,5.0
614098725,E-M5MarkII,OLYMPUS M.100-400mm F5.0-6.3,1250,285 mm,"Flash did not fire, auto",f/6.3,1/640 sec,4261 pixels x 2394 pixels,8.96 MB,,,,,Common Murre,Uria aalge,Javier Alonso Almeida,2024-01-28,2024,5.0,33,Europe,5.0
568498411,NIKON Z 9,AF-S NIKKOR 500mm f/5.6E PF ED VR,2500,500 mm,Flash did not fire,f/5.6,1/2500 sec,2048 pixels x 2048 pixels,231.01 KB,,,,,Bank Swallow,Riparia riparia,Graham Deese,2023-05-06,2023,5.0,40,North America,5.0
573812121,Canon EOS-1D X Mark II,EF100-400mm f/4.5-5.6L IS II USM,5000,400 mm,Flash did not fire,f/7.1,1/320 sec,2078 pixels x 1385 pixels,1.91 MB,,,,,Crescent-chested Warbler,Oreothlypis superciliosa,Sandra Peterson,2023-05-17,2023,5.0,40,North America,5.0
624535762,Canon EOS 80D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,320,600 mm,Flash did not fire,f/6.3,1/800 sec,6000 pixels x 4000 pixels,6.52 MB,,,,,Violet-backed Starling,Cinnyricinclus leucogaster,Sarah Rackowski,2024-10-05,2024,5.0,27,Africa,5.0
620094375,NIKON Z 9,AF-S NIKKOR 500mm f/5.6E PF ED VR,800,500 mm,Flash did not fire,f/5.6,1/4000 sec,3815 pixels x 2543 pixels,2.09 MB,,,,,Bulwer's Petrel,Bulweria bulwerii,Hugo Blanco,2024-06-01,2024,5.0,57,Europe,5.0
614088872,Canon EOS R6,,4000,400 mm,Flash did not fire,f/11.0,1/800 sec,2353 pixels x 1680 pixels,2.9 MB,,,,,Wood Thrush,Hylocichla mustelina,Sue&Gary Milks,2024-01-16,2024,5.0,32,North America,5.0
587083371,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,640,600 mm,Flash did not fire,f/7.1,1/2000 sec,6050 pixels x 4033 pixels,8.05 MB,,,,,Little Blue Heron,Egretta caerulea,Francisco Castro Escobar,2023-06-21,2023,5.0,28,South America,5.0
263879411,Canon EOS 77D,EF400mm f/5.6L USM,400,400 mm,Flash did not fire,f/5.6,1/500 sec,4686 pixels x 3140 pixels,1.68 MB,,,,,Cape May Warbler,Setophaga tigrina,Nick  Lund,2020-09-18,2020,5.0,32,North America,5.0
39845511,Canon EOS REBEL T5,,800,300 mm,"Flash did not fire, auto",f/7.1,1/1250 sec,3984 pixels x 2689 pixels,1.77 MB,,,,,Red-legged Cormorant,Poikilocarbo gaimardi,Matías Garrido 🐧,2016-11-12,2016,5.0,30,South America,5.0
184032571,NIKON D500,,900,600 mm,Flash did not fire,f/6.3,1/1600 sec,4880 pixels x 3253 pixels,3.32 MB,,,,,Purple-throated Carib,Eulampis jugularis,terence zahner,2019-08-29,2019,5.0,41,North America,5.0
571259681,NIKON D500,200.0-500.0 mm f/5.6,800,500 mm,Flash did not fire,f/6.3,1/640 sec,2740 pixels x 1827 pixels,4.26 MB,,,,,Yellow-crowned Night Heron,Nyctanassa violacea,Richard Rulander,2023-05-13,2023,5.0,41,North America,5.0
205209831,Canon EOS 7D Mark II,EF500mm f/4L IS USM,1000,500 mm,Flash did not fire,f/4.0,1249/1000000 sec,1100 pixels x 733 pixels,310.49 KB,,,,,Bearded Mountaineer (Eastern),Oreonympha nobilis nobilis,Carlos Calle Quispe,2018-07-30,2018,5.0,29,South America,5.0
406940951,Canon EOS R6,RF100-500mm F4.5-7.1 L IS USM,640,500 mm,Flash did not fire,f/8.0,1/1600 sec,2922 pixels x 2921 pixels,3.67 MB,,,,,Northern Bald Ibis,Geronticus eremita,Matias Castren,2022-01-17,2022,5.0,53,Europe,5.0
522243021,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,4000,500 mm,Flash did not fire,f/8.0,1/640 sec,5516 pixels x 3678 pixels,10.28 MB,,,,,Common Firecrest,Regulus ignicapilla,Tiago Guerreiro,2022-12-18,2022,5.0,41,Europe,5.0
627029423,NIKON Z 8,AF-S NIKKOR 500mm f/5.6E PF ED VR,1100,500 mm,Flash did not fire,f/5.6,1/500 sec,4132 pixels x 2756 pixels,6.95 MB,,,,,Golden-crowned Kinglet,Regulus satrapa,Tom Hambleton,2024-12-02,2024,5.0,41,North America,5.0
302311551,Canon PowerShot SX70 HS,3.8-247mm,100,111.5 mm,Flash did not fire,f/6.3,1/1000 sec,5184 pixels x 3888 pixels,2.52 MB,,,,,Black-headed Gull,Chroicocephalus ridibundus,Bosco Chan,2021-01-29,2021,5.0,21,Asia,5.0
418696011,NIKON D500,,500,500 mm,Flash did not fire,f/5.6,1/3200 sec,3351 pixels x 2238 pixels,1.18 MB,,,,,Thick-billed Murre,Uria lomvia,Ernest Hahn,2022-02-21,2022,5.0,31,North America,5.0
623583885,Canon EOS 6D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,500,600 mm,Flash did not fire,f/6.3,1/1600 sec,3690 pixels x 2460 pixels,899.91 KB,,,,,White-tufted Grebe,Rollandia rolland,Martín  Perez,2024-09-10,2024,5.0,23,South America,5.0
613526850,Canon EOS R5,,1000,800 mm,Flash did not fire,f/11.0,1/2500 sec,2920 pixels x 1948 pixels,3.04 MB,,,,,Northern Shrike,Lanius borealis,Lesley Tullis,2024-01-14,2024,5.0,30,North America,5.0
486606741,DSC-RX10M4,8.8-220mm f/2.4-4.0,200,218.3 mm,Flash did not fire,f/4.0,1/250 sec,4110 pixels x 2740 pixels,1.62 MB,,,,,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Caileigh Kirkby,2022-09-22,2022,5.0,30,North America,5.0
419784281,ILCE-9M2,FE 200-600mm F5.6-6.3 G OSS,400,338 mm,Flash did not fire,f/8.0,1/2000 sec,2003 pixels x 1127 pixels,1.17 MB,,,,,Reddish Egret,Egretta rufescens,Braulio Castillo,2022-02-24,2022,5.0,30,North America,5.0
616180503,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,2000,500 mm,Flash did not fire,f/7.1,1/400 sec,5819 pixels x 3637 pixels,5.18 MB,,,,,Red-winged Blackbird,Agelaius phoeniceus,Alex Cox,2024-03-15,2024,5.0,53,North America,5.0
501959161,NIKON D850,500.0 mm f/5.6,4000,500 mm,Flash did not fire,f/5.6,1/200 sec,2000 pixels x 1333 pixels,1.62 MB,,,,,Blue Eared-Pheasant,Crossoptilon auritum,Marcel Holyoak,2019-06-08,2019,5.0,29,Asia,5.0
624609457,DSC-RX10M4,,250,214.7 mm,Flash did not fire,f/4.0,1/2500 sec,2562 pixels x 1708 pixels,439.65 KB,,,,,Long-legged Buzzard (Atlas),Buteo rufinus cirtensis,Laura Rollán,2024-10-05,2024,5.0,22,Europe,5.0
586880461,Canon EOS 5D Mark III,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1250,600 mm,Flash did not fire,f/6.3,1/500 sec,3794 pixels x 2495 pixels,2.92 MB,,,,,Limpkin,Aramus guarauna,Alex Marine,2023-05-29,2023,5.0,55,North America,5.0
616787485,Canon EOS R5,EF500mm f/4.5L USM,1600,500 mm,Flash did not fire,f/4.5,1/4000 sec,3944 pixels x 3048 pixels,2.59 MB,,,,,Tree Swallow,Tachycineta bicolor,Alva  Steury,2024-04-01,2024,5.0,55,North America,5.0
478299371,Canon EOS R5,EF300mm f/4L IS USM,500,300 mm,Flash did not fire,f/4.5,1/800 sec,2049 pixels x 1364 pixels,888.49 KB,,,,,Parakeet Auklet,Aethia psittacula,Nathan Goldberg,2022-08-16,2022,5.0,62,North America,5.0
622523391,ILCE-6700,FE 200-600mm F5.6-6.3 G OSS,4000,397 mm,Flash did not fire,f/7.1,1/640 sec,4232 pixels x 2821 pixels,15.11 MB,,,,,White-browed Scrubwren,Sericornis frontalis,Gary Dickson,2024-08-14,2024,5.0,59,Australia,5.0
620824013,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,800,500 mm,Flash did not fire,f/7.1,1/640 sec,5665 pixels x 3776 pixels,8.39 MB,,,,,Greater Prairie-Chicken,Tympanuchus cupido,Tommy Childers,2024-04-13,2024,5.0,55,North America,5.0
125794711,Canon EOS 7D,,500,400 mm,"Flash did not fire, auto",f/5.6,1/400 sec,2916 pixels x 1944 pixels,3.42 MB,,,,,Slender-billed Gull,Chroicocephalus genei,Ohad Sherer,2016-12-23,2016,5.0,30,Asia,5.0
326446401,NIKON D4S,600.0 mm f/4.0,1600,850 mm,Flash did not fire,f/5.6,0.02 sec,4242 pixels x 2823 pixels,4.47 MB,,,,,Sri Lanka Bay-Owl,Phodilus assimilis,Mohamed Mothi,2021-04-11,2021,5.0,31,Asia,5.0
624588808,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,1250,500 mm,Flash did not fire,f/7.1,1/80 sec,3216 pixels x 2255 pixels,4.49 MB,,,,,Flame-throated Bulbul,Rubigula gularis,Shashidhar Joshi,2024-10-04,2024,5.0,37,Asia,5.0
97635141,Canon EOS 80D,EF300mm f/4L IS USM,125,300 mm,,f/8.0,1/500 sec,5322 pixels x 3547 pixels,6.02 MB,,,,,Laughing Gull,Leucophaeus atricilla,Joseph Bourget,2018-04-28,2018,5.0,60,North America,5.0
424032801,Canon EOS 70D,EF400mm f/5.6L USM,320,400 mm,Flash did not fire,f/6.3,1/500 sec,3637 pixels x 2425 pixels,1.33 MB,,,,,Bald Eagle,Haliaeetus leucocephalus,Yousif Attia,2020-12-20,2020,5.0,60,North America,5.0
372601591,NIKON D7200,,220,500 mm,Flash did not fire,f/6.3,1/640 sec,1425 pixels x 1468 pixels,1.11 MB,,,,,Caucasian Snowcock,Tetraogallus caucasicus,Bradeanu Alin,2021-09-20,2021,5.0,31,Asia,5.0
568756581,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,500,428 mm,Flash did not fire,f/6.3,1/500 sec,5579 pixels x 3138 pixels,17.07 MB,,,,,Eurasian Nightjar,Caprimulgus europaeus,Piki Ish-Shalom,2023-05-08,2023,5.0,31,Asia,5.0
381351011,Canon EOS-1D X Mark II,EF500mm f/4L IS II USM +2x III,800,1000 mm,Flash did not fire,f/8.0,1/1250 sec,1920 pixels x 1200 pixels,851.53 KB,,,,,White-bellied Heron,Ardea insignis,Sagar Gosavi,2019-01-01,2019,5.0,35,Asia,5.0
613474218,COOLPIX P950,,100,285 mm,Flash did not fire,f/6.3,1/500 sec,4513 pixels x 3385 pixels,8.06 MB,,,,,Whooper Swan,Cygnus cygnus,Javier Sampedro,2024-01-13,2024,5.0,21,Europe,5.0
616142774,COOLPIX P900,,200,357 mm,Flash did not fire,f/6.5,1/200 sec,3800 pixels x 2724 pixels,9.9 MB,,,,,Great Crested Grebe,Podiceps cristatus,Javier Robres,2024-03-17,2024,5.0,21,Europe,5.0
611820524,ILCE-1,FE 200-600mm F5.6-6.3 G OSS + 1.4X Teleconverter,800,840 mm,Flash did not fire,f/9.0,1/1000 sec,3954 pixels x 2636 pixels,6.27 MB,,,,,Australian Painted-Snipe,Rostratula australis,Peter Sternes,2023-12-03,2023,5.0,78,Australia,5.0
627349370,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,1600,500 mm,Flash did not fire,f/8.0,1/160 sec,4782 pixels x 3188 pixels,3.22 MB,,,,,Collared Bush-Robin,Tarsiger johnstoniae,Con-gjie Lin,2024-12-08,2024,5.0,34,Asia,5.0
622697869,Canon EOS R7,150-600mm F5-6.3 DG OS HSM | Contemporary 015,400,600 mm,Flash did not fire,f/6.3,1/1600 sec,4081 pixels x 2707 pixels,2.48 MB,,,,,Broad-billed Sandpiper,Calidris falcinellus,shahar yogev,2024-08-19,2024,5.0,34,Asia,5.0
521680941,ILCE-9,,400,600 mm,Flash did not fire,f/8.0,1/1000 sec,6000 pixels x 4000 pixels,10.56 MB,,,,,Whooper Swan,Cygnus cygnus,Hung-Chieh Chien,2023-01-08,2023,5.0,28,Asia,5.0
619503963,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,2500,400 mm,Flash did not fire,f/5.6,1/60 sec,3246 pixels x 2597 pixels,7.7 MB,,,,,Wrenthrush,Zeledonia coronata,Josanel Sugasti -photographyandbirdingtourspanama,2024-04-08,2024,5.0,29,North America,5.0
400567381,Canon EOS 7D Mark II,EF400mm f/5.6L USM,320,400 mm,Flash did not fire,f/5.6,1/1600 sec,4914 pixels x 3052 pixels,7.53 MB,,,,,Anhinga,Anhinga anhinga,Tommy Quarles,2021-12-30,2021,5.0,50,North America,5.0
344878791,NIKON D5600,,2000,500 mm,Flash did not fire,f/6.3,1/40 sec,5361 pixels x 3417 pixels,4.71 MB,,,,,Javan Blue-banded Kingfisher,Alcedo euryzona,Leonardus Adi Saktyari,2021-06-02,2021,5.0,24,Asia,5.0
177942031,NIKON D850,200.0-500.0 mm f/5.6,500,500 mm,"Flash fired, return not detected",f/7.1,1/500 sec,2691 pixels x 1514 pixels,2.47 MB,,,,,White-browed Conebill,Conirostrum ferrugineiventre,Alfredo Cornejo,2019-09-11,2019,5.0,23,South America,5.0
266128641,Canon EOS 5DS R,EF800mm f/5.6L IS USM,4000,800 mm,Flash did not fire,f/9.0,1/8000 sec,4007 pixels x 2731 pixels,9.38 MB,,,,,Phainopepla,Phainopepla nitens,Greg Homel,2020-09-26,2020,5.0,44,North America,5.0
301658221,NIKON Z 6,500.0 mm f/5.6,2500,500 mm,Flash did not fire,f/5.6,1/800 sec,5496 pixels x 3657 pixels,8.9 MB,,,,,King Eider,Somateria spectabilis,Stephen Davies,2021-01-26,2021,5.0,44,North America,5.0
131454191,Canon EOS 760D,EF400mm f/5.6L USM,1250,400 mm,"Flash did not fire, auto",f/6.3,1/800 sec,2500 pixels x 1739 pixels,1.8 MB,,,,,Eastern Shrike-tit,Falcunculus frontatus,James  Nicolson,2018-12-27,2018,5.0,40,Australia,5.0
469176991,COOLPIX P900,,125,67.8 mm,Flash did not fire,f/5.0,1/250 sec,3780 pixels x 2835 pixels,2.09 MB,,,,,Eurasian Collared-Dove,Streptopelia decaocto,Lois Santos Pérez,2022-06-25,2022,5.0,36,Europe,5.0
205792941,COOLPIX P900,,200,321 mm,"Flash did not fire, auto",f/6.3,1/30 sec,4705 pixels x 3059 pixels,4.53 MB,,,,,Pin-tailed Manakin,Ilicura militaris,Aisse Gaertner,2016-03-31,2016,5.0,22,South America,5.0
286106571,NIKON D7100,,640,500 mm,Flash did not fire,f/7.1,1/200 sec,4291 pixels x 2861 pixels,9.12 MB,,,,,European Robin,Erithacus rubecula,Carlos Alberto Ramírez,2020-12-06,2020,5.0,24,Europe,5.0
204950091,NIKON D850,600.0 mm f/4.0,800,850 mm,Flash did not fire,f/5.6,1/400 sec,3508 pixels x 2339 pixels,7.34 MB,,,,,Black-throated Thrush,Turdus atrogularis,Richard Tyler,2019-12-18,2019,5.0,24,Europe,5.0
464717391,NIKON D850,200.0-500.0 mm f/5.6,720,280 mm,Flash did not fire,f/8.0,1/2000 sec,6773 pixels x 4890 pixels,3.7 MB,,,,,Brown Falcon,Falco berigora,Jonathan Tickner,2022-07-04,2022,5.0,41,Australia,5.0
614635615,NIKON Z 8,,500,600 mm,Flash did not fire,f/8.0,1/500 sec,5136 pixels x 3424 pixels,2.32 MB,,,,,Red-billed Oxpecker,Buphagus erythroryncha,Adarsh Nagda,2024-02-10,2024,5.0,60,Africa,5.0
83211011,NIKON D80,,200,400 mm,"Flash did not fire, auto",f/5.6,1/800 sec,1278 pixels x 856 pixels,339.25 KB,,,,,Indian Roller,Coracias benghalensis,Peter Arras,2018-01-24,2018,5.0,25,Asia,5.0
104259111,Canon EOS 5D Mark II,,800,400 mm,"Flash did not fire, auto",f/5.6,1/640 sec,4137 pixels x 2758 pixels,275.64 KB,,,,,Eurasian Nightjar,Caprimulgus europaeus,Daniel Mitev,2015-06-12,2015,5.0,37,Europe,5.0
622206651,Canon EOS 90D,60-600mm F4.5-6.3 DG OS HSM | Sports 018,160,600 mm,Flash did not fire,f/8.0,1/800 sec,5941 pixels x 3960 pixels,10.86 MB,,,,,Caspian Snowcock,Tetraogallus caspius,Ömer Kilit,2024-08-04,2024,5.0,27,Asia,5.0
183690081,Canon EOS 70D,EF400mm f/5.6L USM,1250,400 mm,"Flash did not fire, auto",f/7.1,1/800 sec,3504 pixels x 2336 pixels,4.98 MB,,,,,Hooded Warbler,Setophaga citrina,Jeff O'Connell,2019-10-22,2019,5.0,47,North America,5.0
509007161,ILCE-7M4,FE 200-600mm F5.6-6.3 G OSS,160,600 mm,Flash did not fire,f/6.3,1/500 sec,3648 pixels x 2918 pixels,1.14 MB,,,,,Common Gallinule,Gallinula galeata,Gloria Markiewicz,2022-12-01,2022,5.0,47,North America,5.0
164088741,Canon EOS-1D X Mark II,EF100-400mm f/4.5-5.6L IS II USM,640,400 mm,"Flash did not fire, auto",f/5.6,1/1000 sec,2250 pixels x 1449 pixels,3.64 MB,,,,,Great Horned Owl,Bubo virginianus,"James R. Hill, III",2019-05-08,2019,5.0,68,North America,5.0
260267301,NIKON D7200,300.0 mm f/4.0,1000,300 mm,Flash did not fire,f/5.6,1/1000 sec,1200 pixels x 800 pixels,704.83 KB,,,,,Baillon's Crake,Zapornia pusilla,Luis Gracia Garcés,2020-09-05,2020,5.0,20,Europe,5.0
432277331,NIKON D3400,150.0-600.0 mm f/5.0-6.3,800,600 mm,Flash did not fire,f/6.3,1/4000 sec,5240 pixels x 3493 pixels,5.26 MB,,,,,Northern Fulmar,Fulmarus glacialis,Jesse LeBlanc,2022-03-31,2022,5.0,20,Europe,5.0
204294851,Canon EOS 5DS R,EF400mm f/2.8L IS II USM,1000,400 mm,"Flash did not fire, auto",f/8.0,1/400 sec,5400 pixels x 3600 pixels,3.13 MB,,,,,Shoebill,Balaeniceps rex,Holger Teichmann,2018-07-09,2018,5.0,117,Africa,5.0
181881821,COOLPIX P900,,280,357 mm,"Flash did not fire, auto",f/6.5,1/500 sec,4608 pixels x 3456 pixels,6.19 MB,,,,,Purple Martin,Progne subis,Reanna Thomas,2019-05-04,2019,5.0,49,North America,5.0
205839151,NIKON D7200,200.0-500.0 mm f/5.6,1600,500 mm,"Flash did not fire, auto",f/8.0,1/60 sec,6000 pixels x 4000 pixels,4.27 MB,,,,,Satyr Tragopan,Tragopan satyra,Tshering Tobgay,2019-04-22,2019,5.0,27,Asia,5.0
548901801,Canon EOS R7,EF600mm f/4L IS III USM,640,600 mm,Flash did not fire,f/4.0,0.02 sec,5856 pixels x 3294 pixels,6.11 MB,,,,,Scaly-breasted Kingfisher,Actenoides princeps,Kenneth Cheong,2023-03-15,2023,5.0,42,Asia,5.0
440899151,NIKON D500,200.0-500.0 mm f/5.6,800,230 mm,Flash did not fire,f/5.6,1/800 sec,4469 pixels x 2979 pixels,10.23 MB,,,,,Siberian Grouse,Falcipennis falcipennis,Grigory Evtukh,2021-05-24,2021,5.0,27,Asia,5.0
265157421,Canon EOS 5DS R,EF600mm f/4L IS II USM,500,600 mm,Flash did not fire,f/9.0,1/2000 sec,1920 pixels x 1080 pixels,815.01 KB,,,,,Blue-cheeked Bee-eater,Merops persicus,Levent Göksoy,2020-04-29,2020,5.0,42,Asia,5.0
465280371,NIKON D850,,320,500 mm,Flash did not fire,f/6.3,1/1250 sec,6113 pixels x 4075 pixels,5.13 MB,,,,,Sillem's Rosefinch,Carpodacus sillemi,Shigui Huang,2022-07-05,2022,5.0,27,Asia,5.0
314764061,Canon EOS 7D Mark II,,,400 mm,Flash did not fire,f/6.4,61/62500 sec,2762 pixels x 1825 pixels,791.5 KB,,,,,Northern Shoveler,Spatula clypeata,Gaspar Zaldua,2021-03-06,2021,5.0,33,Europe,5.0
441904641,NIKON D7200,,500,500 mm,Flash did not fire,f/5.6,1/640 sec,5749 pixels x 3728 pixels,3.3 MB,,,,,Eurasian Nightjar,Caprimulgus europaeus,Shlomi Segall,2022-04-30,2022,5.0,67,Asia,5.0
