catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
427148171,Canon EOS R5,EF600mm f/4L IS II USM +1.4x III,1600,840 mm,Flash did not fire,f/7.1,1/400 sec,2200 pixels x 1467 pixels,270.35 KB,,,,,Blue-rumped Parrot,Psittinus cyanurus,Saravanan Krishnamurthy,2022-03-19,2022,5.0,37,Asia
522492561,NIKON D500,200.0-500.0 mm f/5.6,400,460 mm,Flash did not fire,f/5.6,1/15 sec,3311 pixels x 2207 pixels,5.56 MB,,,,,Bornean Banded-Pitta,Hydrornis schwaneri,Wai Loon Wong,2022-12-21,2022,5.0,21,Asia
519807861,Canon EOS R6,RF800mm F11 IS STM,4000,800 mm,Flash did not fire,f/11.0,1/640 sec,3270 pixels x 2180 pixels,2.21 MB,,,,,Surf Scoter,Melanitta perspicillata,Frank Lin,2023-01-02,2023,5.0,54,North America
584587231,Canon EOS R7,EF100-400mm f/4.5-5.6L IS II USM,3200,400 mm,Flash did not fire,f/5.6,1/1000 sec,4577 pixels x 3053 pixels,6.18 MB,,,,,Black-throated Gray Warbler,Setophaga nigrescens,Joachim Bertrands | Ornis Birding Expeditions,2023-06-13,2023,5.0,54,North America
65500251,Canon EOS 7D,EF300mm f/2.8L IS USM +1.4x,320,420 mm,"Flash did not fire, auto",f/6.3,1/4000 sec,4465 pixels x 2793 pixels,6.25 MB,,,,,Steller's Sea-Eagle,Haliaeetus pelagicus,Christoph Moning,2017-02-24,2017,5.0,21,Asia
85111281,NIKON D750,200.0-500.0 mm f/5.6,200,500 mm,"Flash did not fire, auto",f/7.1,1/250 sec,4721 pixels x 3072 pixels,3.95 MB,,,,,Ultramarine Flycatcher,Ficedula superciliaris,Abhishek Das,2016-04-19,2016,5.0,21,Asia
186120601,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,3200,400 mm,Flash did not fire,f/5.6,1/500 sec,6125 pixels x 4098 pixels,9.95 MB,,,,,Sulawesi Dwarf-Kingfisher,Ceyx fallax,Luke Seitz,2019-10-22,2019,5.0,21,Asia
191885071,NIKON D500,200.0-500.0 mm f/5.6,2500,500 mm,Flash did not fire,f/5.6,0.05 sec,4293 pixels x 2862 pixels,10.24 MB,,,,,Scaly-breasted Kingfisher (Scaly-breasted),Actenoides princeps princeps/erythrorhamphus,Ana Paula Oxom,2019-11-03,2019,5.0,21,Asia
204308231,Canon EOS 5DS R,EF400mm f/2.8L IS II USM,1250,400 mm,"Flash did not fire, auto",f/3.5,1/250 sec,2400 pixels x 1600 pixels,1.74 MB,,,,,Sulawesi Dwarf-Kingfisher,Ceyx fallax,Holger Teichmann,2018-09-09,2018,5.0,21,Asia
302311551,Canon PowerShot SX70 HS,3.8-247mm,100,111.5 mm,Flash did not fire,f/6.3,1/1000 sec,5184 pixels x 3888 pixels,2.52 MB,,,,,Black-headed Gull,Chroicocephalus ridibundus,Bosco Chan,2021-01-29,2021,5.0,21,Asia
333250031,Canon EOS 7D Mark II,EF500mm f/4L IS II USM,400,500 mm,Flash did not fire,f/5.6,1/3200 sec,2539 pixels x 1693 pixels,629.4 KB,,,,,Cinnamon Bittern,Botaurus cinnamomeus,Hari K Patibanda,2021-05-02,2021,5.0,21,Asia
334850601,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,320,594 mm,Flash did not fire,f/6.3,1/3200 sec,2248 pixels x 1499 pixels,421.17 KB,,,,,Bar-tailed Lark,Ammomanes cinctura,Metin Tuncer,2021-05-06,2021,5.0,21,Asia
372281591,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,250,400 mm,Flash fired,f/6.3,1/250 sec,4620 pixels x 2806 pixels,7.39 MB,,,,,Western Barn Owl,Tyto alba,Emirhan Başak,2021-09-20,2021,5.0,21,Asia
376979491,ILCE-6400,Sony FE 200–600mm F5.6–6.3 G OSS (SEL200600G),800,600 mm,Flash did not fire,f/6.3,1/500 sec,1967 pixels x 1311 pixels,2.38 MB,,,,,Lesser Whistling-Duck,Dendrocygna javanica,Raghavendra  Pai,2021-10-11,2021,5.0,21,Asia
392903971,Canon EOS 7D Mark II,EF400mm f/5.6L USM,800,400 mm,Flash did not fire,f/7.1,1/1600 sec,1200 pixels x 800 pixels,611.13 KB,,,,,Syrian Serin,Serinus syriacus,Yoav Perlman,2021-12-03,2021,5.0,21,Asia
409507731,Canon EOS 750D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,400,600 mm,Flash did not fire,f/8.0,1/640 sec,2757 pixels x 2065 pixels,1.67 MB,,,,,Bluethroat,Luscinia svecica,Vyom Vyas,2022-01-23,2022,5.0,21,Asia
460273511,Canon EOS R5,EF100-400mm f/4.5-5.6L IS II USM,500,214 mm,Flash did not fire,f/5.6,1/3200 sec,3840 pixels x 2160 pixels,2 MB,,,,,Eurasian Goshawk,Astur gentilis,Levent Göksoy,2021-10-08,2021,5.0,21,Asia
510194271,Canon EOS R7,RF600mm F4 L IS USM + EXTENDER RF1.4x,640,840 mm,Flash did not fire,f/7.1,1/2000 sec,4238 pixels x 2384 pixels,4.1 MB,,,,,Western Sandpiper,Calidris mauri,Ryan Sanderson,2022-11-11,2022,5.0,54,North America
427477501,Canon EOS 7D Mark II,EF800mm f/5.6L IS USM +1.4x III,200,1120 mm,Flash fired,f/11.0,1/250 sec,2566 pixels x 1598 pixels,856.45 KB,,,,,Merlin,Falco columbarius,Mark Chappell,2017-10-16,2017,5.0,54,North America
361743461,NIKON D800,"100,0-400,0 mm f/5,0-6,3",280,400 mm,Flash did not fire,f/6.3,1/250 sec,3915 pixels x 2612 pixels,6.7 MB,,,,,Keel-billed Toucan,Ramphastos sulfuratus,Jaap Velden,2021-02-11,2021,5.0,54,North America
341614621,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,640,600 mm,Flash did not fire,f/7.1,1/2500 sec,2903 pixels x 1935 pixels,4 MB,,,,,Semipalmated Plover,Charadrius semipalmatus,Matthew Plante,2021-05-23,2021,5.0,32,North America
536791391,NIKON D850,,640,460 mm,Flash did not fire,f/6.3,1/250 sec,6595 pixels x 4397 pixels,4.16 MB,,,,,Pine Grosbeak,Pinicola enucleator,Timothy Piranian,2023-02-18,2023,5.0,32,North America
535169211,ILCE-7RM4,FE 600mm F4 GM OSS,250,600 mm,Flash did not fire,f/4.0,13978/44729601 sec,3624 pixels x 2660 pixels,6.88 MB,,,,,Ring-necked Duck,Aythya collaris,Anne Inga,2023-02-14,2023,5.0,32,North America
523102481,NIKON D850,300.0 mm f/2.8,800,420 mm,Flash did not fire,f/4.0,1/400 sec,4855 pixels x 3237 pixels,5.69 MB,,,,,Northern Pintail,Anas acuta,Matthew Dolkart,2023-01-11,2023,5.0,32,North America
522105501,NIKON D7200,200.0-500.0 mm f/5.6,1000,340 mm,Flash did not fire,f/7.1,1/3200 sec,4974 pixels x 3148 pixels,1.28 MB,,,,,Burrowing Parakeet,Cyanoliseus patagonus,Marky “Map Mommy” Mutchler,2023-01-08,2023,5.0,32,North America
507562571,NIKON D850,150.0-600.0 mm f/5.0-6.3,800,600 mm,Flash did not fire,f/8.0,1/2500 sec,4560 pixels x 3141 pixels,10.68 MB,,,,,Bonaparte's Gull,Chroicocephalus philadelphia,Matt Mason,2022-11-26,2022,5.0,32,North America
474974901,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,3200,500 mm,Flash did not fire,f/8.0,1/2500 sec,4720 pixels x 3148 pixels,6.9 MB,,,,,Cape Verde Shearwater,Calonectris edwardsii,Nick Bonomo,2022-08-12,2022,5.0,32,North America
449683831,Canon EOS R5,EF500mm f/4L IS II USM,200,500 mm,Flash did not fire,f/4.0,1/1250 sec,6365 pixels x 4100 pixels,5.03 MB,,,,,Northern Pintail,Anas acuta,Matt Misewicz,2022-05-15,2022,5.0,32,North America
438790031,Canon EOS R5,EF100-400mm f/4.5-5.6L IS II USM,500,400 mm,Flash did not fire,f/5.6,1/500 sec,2303 pixels x 1536 pixels,572.17 KB,,,,,Black-and-white Warbler,Mniotilta varia,Matt Felperin,2022-04-19,2022,5.0,32,North America
368173041,Canon EOS R5,EF600mm f/4L IS II USM,1000,600 mm,Flash did not fire,f/4.0,1/4000 sec,3279 pixels x 2187 pixels,1.23 MB,,,,,Belted Kingfisher,Megaceryle alcyon,Brad Imhoff,2021-09-09,2021,5.0,32,North America
314893911,Canon EOS 7D Mark II,EF500mm f/4L IS USM,1000,500 mm,Flash did not fire,f/4.0,1/1250 sec,3238 pixels x 2159 pixels,7.02 MB,,,,,Golden-crowned Kinglet,Regulus satrapa,Blair Dudeck,2021-03-07,2021,5.0,32,North America
290896961,Canon EOS-1D X Mark III,EF600mm f/4L IS II USM +1.4x III,1250,840 mm,Flash did not fire,f/5.6,1/4000 sec,4137 pixels x 2758 pixels,7.51 MB,,,,,Red Crossbill (Northeastern or type 12),Loxia curvirostra (type 12),Michael Stubblefield,2020-12-23,2020,5.0,54,North America
278896991,NIKON D7100,100.0-400.0 mm f/4.5-6.3,360,400 mm,Flash did not fire,f/8.0,1/1000 sec,2828 pixels x 1768 pixels,2.09 MB,,,,,Mexican Sheartail,Doricha eliza,Luis Trinchan,2020-11-07,2020,5.0,32,North America
263879411,Canon EOS 77D,EF400mm f/5.6L USM,400,400 mm,Flash did not fire,f/5.6,1/500 sec,4686 pixels x 3140 pixels,1.68 MB,,,,,Cape May Warbler,Setophaga tigrina,Nick  Lund,2020-09-18,2020,5.0,32,North America
259803801,Canon EOS 7D,EF400mm f/5.6L USM,320,400 mm,Flash did not fire,f/6.3,1/1000 sec,4265 pixels x 2844 pixels,7.17 MB,,,,,Canada Warbler,Cardellina canadensis,Evan Lipton,2020-09-02,2020,5.0,32,North America
172922871,NIKON D500,200.0-500.0 mm f/5.6,800,500 mm,Flash did not fire,f/5.6,1/500 sec,4126 pixels x 2751 pixels,4.7 MB,,,,,Brewer's Sparrow,Spizella breweri,Darren Clark,2019-08-16,2019,5.0,32,North America
519839971,ILCE-9,FE 200-600mm F5.6-6.3 G OSS,3200,600 mm,Flash did not fire,f/8.0,1/200 sec,3485 pixels x 1960 pixels,3.92 MB,,,,,Black-eared Barbet,Psilopogon duvaucelii,John Clough,2023-01-03,2023,5.0,21,Asia
542905001,OM-1,OLYMPUS M.150-400mm F4.5,1000,234 mm,Flash did not fire,f/4.5,1/13 sec,4675 pixels x 3506 pixels,6.88 MB,,,,,Fujian Niltava,Niltava davidi,James Eaton,2023-03-04,2023,5.0,22,Asia
549686301,ILCE-7RM3,FE 200-600mm F5.6-6.3 G OSS,2000,600 mm,Flash did not fire,f/6.3,1/400 sec,3457 pixels x 2305 pixels,3.25 MB,,,,,Northern Boobook,Ninox japonica,Andy Lee,2022-07-11,2022,5.0,21,Asia
458201481,NIKON D6,VR 500mm f/4E,4000,500 mm,Flash did not fire,f/4.0,1/2000 sec,1817 pixels x 1211 pixels,1.8 MB,,,,,Black-chinned Babbler,Cyanoderma pyrrhops,Parmil Kumar,2022-06-10,2022,5.0,21,Asia
503655511,NIKON D500,500.0 mm f/5.6,800,500 mm,Flash did not fire,f/5.6,1/2000 sec,4800 pixels x 3200 pixels,8.29 MB,,,,,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),Deepak Budhathoki 🦉,2022-11-14,2022,5.0,21,Asia
85682551,Canon EOS-1D X Mark II,EF500mm f/4L IS USM,4000,500 mm,"Flash did not fire, auto",f/4.0,1/640 sec,4587 pixels x 2651 pixels,5.09 MB,,,,,Bar-backed Partridge,Arborophila brunneopectus,Ian Davies,2017-02-22,2017,5.0,22,Asia
93271981,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,200,400 mm,"Flash did not fire, auto",f/5.6,1/800 sec,2641 pixels x 1759 pixels,2.32 MB,,,,,Desert Finch,Rhodospiza obsoleta,James Kennerley,2018-04-07,2018,5.0,22,Asia
134814031,Canon EOS 7D,,640,400 mm,"Flash did not fire, auto",f/6.3,1/2500 sec,4144 pixels x 2608 pixels,8.76 MB,,,,,Sinai Rosefinch,Carpodacus synoicus,Anton Liebermann,2019-01-13,2019,5.0,22,Asia
137348681,NIKON D7200,,500,500 mm,"Flash did not fire, auto",f/8.0,1/400 sec,4399 pixels x 3142 pixels,10.36 MB,,,,,Brown-winged Kingfisher,Pelargopsis amauroptera,Mallika Rajasekaran,2019-01-22,2019,5.0,22,Asia
197359051,E-M1MarkII,OLYMPUS M.300mm F4.0,3200,300 mm,Flash did not fire,f/5.0,1/60 sec,2400 pixels x 1600 pixels,3.88 MB,,,,,Snowy-browed Flycatcher,Ficedula hyperythra,Vincent Wang,2017-10-18,2017,5.0,22,Asia
205901211,Canon EOS 5D Mark III,,,400 mm,"Flash did not fire, auto",f/5.6,1/1250 sec,3200 pixels x 2133 pixels,1.37 MB,,,,,Yellow-throated Bunting,Emberiza elegans,Sicheng Wan,2018-01-26,2018,5.0,22,Asia
224625911,NIKON D800E,400.0 mm f/2.8,500,400 mm,"Flash did not fire, auto",f/5.0,1/320 sec,1920 pixels x 1080 pixels,795.17 KB,,,,,Himalayan Griffon,Gyps himalayensis,Thierry NOGARO,2015-02-15,2015,5.0,22,Asia
554973721,COOLPIX P900,,200,250 mm,Flash did not fire,f/6.3,1/500 sec,4386 pixels x 3383 pixels,2.76 MB,,,,,Chukar,Alectoris chukar,Tuvia Kahn,2023-04-05,2023,5.0,21,Asia
593068061,NIKON D4S,600.0 mm f/4.0,220,600 mm,Flash did not fire,f/10.0,1/30 sec,1500 pixels x 1000 pixels,917.89 KB,,,,,Javan Blue-banded Kingfisher,Alcedo euryzona,Boas Emmanuel,2023-07-08,2023,5.0,21,Asia
610492451,Canon EOS 5D Mark III,EF500mm f/4L IS II USM +1.4x III,500,700 mm,Flash did not fire,f/5.6,1/4000 sec,3758 pixels x 2320 pixels,1.07 MB,,,,,Western Reef-Heron,Egretta gularis,Anonymous,2023-10-28,2023,5.0,21,Asia
612262008,NIKON Z 8,AF-S NIKKOR 500mm f/5.6E PF ED VR,1000,500 mm,Flash did not fire,f/5.6,1/2500 sec,1920 pixels x 1080 pixels,308.25 KB,,,,,Velvet Scoter,Melanitta fusca,Ogün Aydin,2023-12-14,2023,5.0,21,Asia
619282339,NIKON D500,500.0 mm f/5.6,800,500 mm,Flash did not fire,f/7.1,1/1250 sec,2564 pixels x 1710 pixels,1.08 MB,,,,,Great Spotted Cuckoo,Clamator glandarius,Çağan Abbasoğlu,2024-05-19,2024,5.0,21,Asia
625872984,Canon EOS R7,RF100-500mm F4.5-7.1 L IS USM,320,254 mm,Flash did not fire,f/5.0,1/1000 sec,3000 pixels x 2000 pixels,2.16 MB,,,,,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),Woochan Kwon,2024-11-05,2024,5.0,21,Asia
626475504,Canon EOS-1D X Mark II,EF600mm f/4L IS II USM,3200,600 mm,Flash did not fire,f/5.6,1/200 sec,2567 pixels x 3209 pixels,3.4 MB,,,,,Black-crested Bulbul,Rubigula flaviventris,Dorian Anderson,2020-01-02,2020,5.0,21,Asia
626845721,NIKON Z 9,AF-S NIKKOR 500mm f/5.6E PF ED VR,2500,500 mm,Flash did not fire,f/5.6,0.02 sec,2649 pixels x 3736 pixels,10.27 MB,,,,,White-bellied Blue Flycatcher,Cyornis pallidipes,Rakesh Das,2022-12-23,2022,5.0,21,Asia
166069861,NIKON D7100,TAMRON SP AF 150-600mm F5-6.3 VC USD A011N,220,600 mm,"Flash did not fire, auto",f/8.0,1/640 sec,2465 pixels x 1761 pixels,3.45 MB,,,,,Indian Silverbill,Euodice malabarica,Ramesh Desai,2019-06-28,2019,5.0,21,Asia
606192931,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,640,600 mm,Flash did not fire,f/6.3,1/2500 sec,4471 pixels x 2979 pixels,1.92 MB,,,,,Snowy Owl,Bubo scandiacus,Zane Shantz,2021-03-08,2021,5.0,32,North America
609000525,NIKON D850,500.0 mm f/4.0,1600,500 mm,Flash did not fire,f/4.0,1/500 sec,4937 pixels x 3290 pixels,1.12 MB,,,,,Brown Violetear,Colibri delphinae,Claudia Brasileiro,2021-02-15,2021,5.0,65,South America
299883821,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,100,400 mm,Flash did not fire,f/5.6,1/640 sec,4572 pixels x 3047 pixels,1.94 MB,,,,,Purple Sandpiper,Calidris maritima,Kojo Baidoo,2021-01-18,2021,5.0,33,North America
65914711,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,1000,400 mm,"Flash did not fire, auto",f/5.6,1/400 sec,4855 pixels x 3237 pixels,5.1 MB,,,,,Wood Stork,Mycteria americana,Tom Hince,2017-08-12,2017,5.0,33,North America
61065061,NIKON D500,600.0 mm f/4.0,125,600 mm,Flash did not fire,f/5.0,1/640 sec,1928 pixels x 1285 pixels,1.21 MB,,,,,Henslow's Sparrow,Centronyx henslowii,Adam Brandemihl,2017-06-13,2017,5.0,33,North America
35436681,NIKON D3300,,400,300 mm,Flash did not fire,f/5.0,1/1600 sec,5715 pixels x 3810 pixels,2.32 MB,,,,,Buff-breasted Sandpiper,Calidris subruficollis,Owen Strickland,2016-09-18,2016,5.0,33,North America
107814681,Canon EOS 60D,200-500mm,2000,500 mm,"Flash did not fire, auto",f/10.0,1/1250 sec,4208 pixels x 2805 pixels,10.27 MB,,,,,Western Tanager,Piranga ludoviciana,Matthew Pendleton,2018-07-14,2018,5.0,52,North America
278793561,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,800,400 mm,Flash did not fire,f/6.3,1/200 sec,3488 pixels x 2384 pixels,3.77 MB,,,,,Downy Woodpecker,Dryobates pubescens,Ryan Schain,2020-11-09,2020,5.0,52,North America
560529711,ILCE-1,FE 600mm F4 GM OSS,1000,600 mm,Flash did not fire,f/4.0,1/15 sec,4096 pixels x 2731 pixels,4.9 MB,,,,,Scaled Antpitta,Grallaria guatimalensis,Jeff Hapeman,2023-04-20,2023,5.0,52,North America
317725091,NIKON D7500,150.0-600.0 mm f/5.0-6.3,320,600 mm,Flash did not fire,f/9.0,1/1000 sec,3604 pixels x 2403 pixels,3.81 MB,,,,,Black-hooded Sierra Finch,Phrygilus atriceps,Pablo Re,2021-03-07,2021,5.0,68,South America
433019351,NIKON D7500,150.0-600.0 mm f/5.0-6.3,220,390 mm,Flash did not fire,f/6.0,1/500 sec,4748 pixels x 2968 pixels,4.09 MB,,,,,White-rumped Sandpiper,Calidris fuscicollis,Mason Maron,2022-03-19,2022,5.0,68,South America
349821671,Canon EOS 60D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1000,516 mm,Flash did not fire,f/8.0,1/400 sec,2835 pixels x 1950 pixels,3.3 MB,,,,,Channel-billed Toucan,Ramphastos vitellinus,Fernando Farias,2021-06-23,2021,5.0,70,South America
551647591,E-M1MarkII,OLYMPUS M.300mm F4.0,2000,300 mm,Flash did not fire,f/4.0,1/1600 sec,4511 pixels x 3007 pixels,6.06 MB,,,,,Gray-breasted Mountain-Toucan,Andigena hypoglauca,Phil Chaon,2022-11-12,2022,5.0,58,South America
593867601,NIKON D500,150.0-600.0 mm f/5.0-6.3,500,600 mm,Flash did not fire,f/6.3,1/2000 sec,4633 pixels x 3088 pixels,3.9 MB,,,,,Northern Bobwhite,Colinus virginianus,Jack Belleghem,2023-07-13,2023,5.0,33,North America
562180551,Canon EOS 5D Mark III,EF400mm f/5.6L USM,1000,400 mm,Flash did not fire,f/5.6,1/640 sec,5043 pixels x 3362 pixels,3 MB,,,,,Austral Pygmy-Owl,Glaucidium nana,Angus Pritchard,2023-03-21,2023,5.0,59,South America
564972061,ILCE-1,FE 600mm F4 GM OSS + 1.4X Teleconverter,3200,840 mm,Flash did not fire,f/5.6,1/640 sec,4096 pixels x 2731 pixels,7.67 MB,,,,,Orange-collared Manakin,Manacus aurantiacus,Austin Groff,2023-04-17,2023,5.0,33,North America
509361431,Canon EOS R5,,250,840 mm,Flash did not fire,f/8.0,1/2000 sec,4267 pixels x 2846 pixels,1.35 MB,,,,,Ross's Goose,Anser rossii,Sam Zhang,2022-12-02,2022,5.0,33,North America
210337321,Canon EOS 7D Mark II,,800,500 mm,"Flash did not fire, auto",f/4.0,0.05 sec,2000 pixels x 1333 pixels,1.32 MB,,,,,Musician Wren,Cyphorhinus arada,Ivan Sjögren,2017-12-13,2017,5.0,61,South America
41456421,NIKON D4S,,320,800 mm,Flash did not fire,f/5.6,1/400 sec,2438 pixels x 3048 pixels,4.08 MB,,,,,Burrowing Owl,Athene cunicularia,Michiel Oversteegen,2016-11-29,2016,5.0,63,South America
551655731,Canon EOS R5,EF400mm f/4 DO IS II USM,4000,400 mm,Flash did not fire,f/4.0,1/160 sec,2048 pixels x 1366 pixels,1.08 MB,,,,,Imperial Snipe,Gallinago imperialis,Chris Venetz | Ornis Birding Expeditions,2022-12-28,2022,5.0,61,South America
476790581,Canon EOS R5,EF600mm f/4L IS II USM +1.4x III,1000,840 mm,Flash did not fire,f/5.6,1/200 sec,3246 pixels x 2164 pixels,2.91 MB,,,,,Colima Pygmy-Owl,Glaucidium palmarum,Dubi Shapiro,2022-04-08,2022,5.0,33,North America
463283381,Canon EOS 80D,EF100-400mm f/4.5-5.6L IS II USM,250,300 mm,Flash did not fire,f/5.6,1/1250 sec,4201 pixels x 3151 pixels,2.12 MB,,,,,Bank Swallow,Riparia riparia,Max Kelly,2022-06-28,2022,5.0,33,North America
454366031,ILCE-7RM4,FE 200-600mm F5.6-6.3 G OSS,400,600 mm,Flash did not fire,f/6.3,1/320 sec,2685 pixels x 1790 pixels,5.88 MB,,,,,Black-throated Green Warbler,Setophaga virens,Alicia Ambers,2022-05-25,2022,5.0,33,North America
351225591,Canon EOS 7D,EF100-400mm f/4.5-5.6L IS II USM,100,400 mm,Flash did not fire,f/5.6,1/250 sec,3128 pixels x 1819 pixels,1.63 MB,,,,,Pin-tailed Whydah,Vidua macroura,Sasha Cahill,2021-06-27,2021,5.0,33,North America
615415496,NIKON D7200,200.0-500.0 mm f/5.6,2500,360 mm,Flash did not fire,f/7.1,1/640 sec,3200 pixels x 2133 pixels,2.26 MB,,,,,Rainbow-bearded Thornbill,Chalcostigma herrani,Alexander Montero,2024-02-02,2024,5.0,79,South America
608734836,NIKON D500,200.0-500.0 mm f/5.6,1800,450 mm,Flash did not fire,f/8.0,1/1600 sec,5410 pixels x 3607 pixels,4.47 MB,,,,,White-tufted Grebe,Rollandia rolland,Tomas Vasquez,2023-07-06,2023,5.0,80,South America
614128875,Canon EOS 90D,EF100-400mm f/4.5-5.6L IS II USM,1000,400 mm,Flash did not fire,f/5.6,1/2000 sec,3472 pixels x 1831 pixels,2.34 MB,,,,,Trumpeter Swan,Cygnus buccinator,Andrew Thomas 🦅🪶,2024-01-28,2024,5.0,32,North America
619532249,Canon EOS R7,RF100-400mm F5.6-8 IS USM,5000,400 mm,Flash did not fire,f/8.0,1/500 sec,2704 pixels x 1803 pixels,3.01 MB,,,,,Violet-green Swallow,Tachycineta thalassina,Les Peterson,2024-05-24,2024,5.0,32,North America
619312043,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,500,500 mm,Flash did not fire,f/7.1,1/640 sec,4000 pixels x 2668 pixels,7.58 MB,,,,,Red-necked Phalarope,Phalaropus lobatus,Fernando Ortega,2024-05-17,2024,5.0,32,North America
619198470,NIKON Z 8,VR 500mm f/4E,1100,500 mm,Flash did not fire,f/4.0,1/320 sec,2642 pixels x 1762 pixels,2.72 MB,,,,,Blackburnian Warbler,Setophaga fusca,Matthew Addicks,2024-05-09,2024,5.0,32,North America
619110784,OM-1,OLYMPUS M.150-400mm F4.5,1000,400 mm,Flash did not fire,f/4.5,1/800 sec,2400 pixels x 1606 pixels,2.79 MB,,,,,Golden-hooded Tanager,Stilpnia larvata,Forest Botial-Jarvis,2024-02-21,2024,5.0,32,North America
618601137,X-T3,XF150-600mmF5.6-8 R LM OIS WR,3200,539 mm,Flash did not fire,f/8.0,1/40 sec,6240 pixels x 4160 pixels,5.29 MB,,,,,Pied-billed Grebe,Podilymbus podiceps,Alex Leeder,2024-05-06,2024,5.0,32,North America
615633113,Canon EOS R7,150-600mm F5-6.3 DG OS HSM | Contemporary 015,1000,600 mm,Flash did not fire,f/8.0,1/800 sec,6526 pixels x 4243 pixels,9.64 MB,,,,,Broad-billed Hummingbird,Cynanthus latirostris,Braxton Landsman,2024-03-03,2024,5.0,32,North America
614629054,NIKON Z 9,NIKKOR Z 600mm f/6.3 VR S,800,600 mm,Flash did not fire,f/9.0,1/1600 sec,4096 pixels x 2732 pixels,3.81 MB,,,,,Merlin,Falco columbarius,Michael Linz,2024-02-09,2024,5.0,32,North America
621188814,E-M1MarkII,OLYMPUS M.100-400mm F5.0-6.3,4000,400 mm,Flash did not fire,f/8.0,1/3200 sec,3116 pixels x 1919 pixels,3.64 MB,,,,,Cliff Swallow (pyrrhonota Group),Petrochelidon pyrrhonota [pyrrhonota Group],Aidan Brubaker,2024-06-20,2024,5.0,32,North America
614088872,Canon EOS R6,,4000,400 mm,Flash did not fire,f/11.0,1/800 sec,2353 pixels x 1680 pixels,2.9 MB,,,,,Wood Thrush,Hylocichla mustelina,Sue&Gary Milks,2024-01-16,2024,5.0,32,North America
611973903,ILCE-6400,150-600mm F5-6.3 DG DN OS | Sports 021,400,600 mm,Flash did not fire,f/6.3,1/640 sec,4346 pixels x 2898 pixels,14.89 MB,,,,,Mexican Duck,Anas diazi,Grigory Heaton,2023-11-18,2023,5.0,32,North America
611708113,Canon EOS R5,EF500mm f/4L IS II USM,800,500 mm,Flash did not fire,f/5.6,1/640 sec,2400 pixels x 1600 pixels,1.08 MB,,,,,Dusky-capped Flycatcher,Myiarchus tuberculifer,Aaron Maizlish,2023-11-29,2023,5.0,32,North America
611558175,Canon EOS R6,EF500mm f/4L IS USM +1.4x,10000,700 mm,Flash did not fire,f/5.6,1/250 sec,3000 pixels x 2000 pixels,3 MB,,,,,Limpkin,Aramus guarauna,Ryan Douglas,2023-11-20,2023,5.0,32,North America
611204881,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,1250,500 mm,Flash did not fire,f/7.1,1/2500 sec,4127 pixels x 2753 pixels,3.87 MB,,,,,Hooded Merganser,Lophodytes cucullatus,Seth Konner,2023-11-15,2023,5.0,32,North America
608668422,NIKON D500,200.0-500.0 mm f/5.6,32000,500 mm,Flash did not fire,f/5.6,1/640 sec,4631 pixels x 3087 pixels,14.86 MB,,,,,Great-tailed Grackle,Quiscalus mexicanus,Rajan Rao,2023-04-01,2023,5.0,32,North America
623205937,ILCE-6700,FE 200-600mm F5.6-6.3 G OSS,5000,600 mm,Flash did not fire,f/6.3,1/1600 sec,3918 pixels x 2612 pixels,7.51 MB,,,,,Rufous-crested Coquette,Lophornis delattrei,Guillermo  Saborío Vega,2024-06-12,2024,5.0,84,South America
231400441,Canon EOS-1D X Mark II,EF300mm f/2.8L IS II USM +1.4x III,800,420 mm,"Flash did not fire, auto",f/4.0,1/800 sec,3196 pixels x 2264 pixels,4.2 MB,,,,,Hooded Visorbearer,Augastes lumachella,Ciro Albano,2020-05-06,2020,5.0,85,South America
620650949,Canon EOS 7D Mark II,EF400mm f/5.6L USM +1.4x III,800,560 mm,Flash did not fire,f/8.0,1/60 sec,2400 pixels x 1600 pixels,896.22 KB,,,,,Burrowing Owl (Southern),Athene cunicularia [cunicularia Group],Ariel Cabrera Foix,2024-06-20,2024,5.0,94,South America
