catalog_number,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
500194421,Peregrine Falcon (Shaheen),Falco peregrinus peregrinator,Shoumo Bhattacharya,2022-11-03,2022,4.79,77,Asia
169886171,Great Dusky Swift,Cypseloides senex,Dante Gabriel Moresco,2019-07-25,2019,4.79,28,South America
87422481,South American Painted-Snipe,Nycticryphes semicollaris,Horacio Luna,2018-02-24,2018,4.79,24,South America
620964321,American Three-toed Woodpecker,Picoides dorsalis,Spencer Hurt,2024-06-29,2024,4.79,81,North America
305226941,Redpoll (Hoary),Acanthis flammea hornemanni/exilipes,Alexandre Terrigeol,2021-02-07,2021,4.79,84,North America
202433571,Swamp Sparrow,Melospiza georgiana,Michael Pelc,2020-01-23,2020,4.79,53,North America
243438601,Pacific Baza,Aviceda subcristata,Wesley Graffin,2020-06-15,2020,4.79,52,Australia
566375261,Red-footed Falcon,Falco vespertinus,George Ierapetritis,2023-05-02,2023,4.79,29,Europe
161076291,Cerulean Warbler,Setophaga cerulea,Todd Mitchell,2019-05-26,2019,4.79,53,North America
455230581,Bluethroat,Luscinia svecica,Marcos Sevillano,2022-05-26,2022,4.79,24,Europe
158927281,Gray Catbird,Dumetella carolinensis,Jean-Sébastien Mayer,2019-05-13,2019,4.79,68,North America
155929111,Orchard Oriole,Icterus spurius,Jason Massey,2019-05-04,2019,4.79,53,North America
612614015,Red-flanked Bluetail,Tarsiger cyanurus,Kenta Togo,2023-12-24,2023,4.79,81,North America
72896571,Scopoli's Shearwater,Calonectris diomedea,Ottavio Janni,2017-10-23,2017,4.79,28,Europe
515543631,Eurasian Wryneck,Jynx torquilla,Dinis Nascimento,2022-12-22,2022,4.79,28,Europe
33832101,Snowy Plover,Anarhynchus nivosus,Sam Heinrich,2016-02-17,2016,4.79,53,North America
423378891,Spotted Crake,Porzana porzana,Aitor Mora Solano,2022-03-08,2022,4.79,24,Europe
90394081,Musk Duck,Biziura lobata,Margot Oorebeek,2018-03-19,2018,4.79,34,Australia
336420461,White-headed Petrel,Pterodroma lessonii,Simon Gorta,2021-05-09,2021,4.79,42,Australia
625371894,Great Horned Owl,Bubo virginianus,Lucas Pittman,2023-09-12,2023,4.79,62,North America
377333861,Snowy Plover,Anarhynchus nivosus,André Vielma Mansilla,2021-10-11,2021,4.79,29,South America
337342551,Balearic Shearwater,Puffinus mauretanicus,Rafael Armada | Warbler Tours,2021-05-01,2021,4.78,160,Europe
171645621,Greater White-fronted Goose,Anser albifrons,Shou  Ye Gauthier,2019-08-05,2019,4.78,55,North America
92103541,Guaiabero,Bolbopsittacus lunulatus,George Inocencio,2018-03-28,2018,4.78,23,Asia
538566741,Great Spotted Cuckoo,Clamator glandarius,Henry Cook,2023-02-20,2023,4.78,27,Europe
519621031,Little Gull,Hydrocoloeus minutus,Kevin Wade,2023-01-02,2023,4.78,32,Europe
555601771,Eurasian Blackbird,Turdus merula,Korkut Demirbas,2023-04-09,2023,4.78,23,Europe
423109751,Meadow Pipit,Anthus pratensis,Ignacio Aparicio,2022-03-05,2022,4.78,23,Europe
148997991,Lesser Flamingo,Phoeniconaias minor,Renuka Vijayaraghavan,2019-03-31,2019,4.78,23,Asia
102078561,Yellow Rail,Coturnicops noveboracensis,Sparrow Claw,2018-05-24,2018,4.78,144,North America
315599991,Calandra Lark,Melanocorypha calandra,Oier Torrecilla,2021-03-10,2021,4.78,36,Europe
417407871,Winter Wren,Troglodytes hiemalis,James Davis,2022-02-18,2022,4.78,88,North America
186375771,Yellow-billed Cuckoo,Coccyzus americanus,Jorge Eduardo Ruano,2019-11-06,2019,4.78,190,North America
163450111,Ortolan Bunting,Emberiza hortulana,Ondřej Boháč,2019-05-28,2019,4.78,32,Europe
304667571,Common Hawk-Cuckoo,Hierococcyx varius,Debasish Tapna,2021-02-06,2021,4.78,37,Asia
132099771,Standard-winged Nightjar,Caprimulgus longipennis,James Hully,2018-11-27,2018,4.78,27,Africa
178243821,Great Spotted Woodpecker,Dendrocopos major,Milas Santos,2019-09-09,2019,4.78,23,Europe
68910381,Emperor Penguin,Aptenodytes forsteri,Laura McDuffie,2016-10-20,2016,4.78,45,Antarctica
253493131,Standard-winged Nightjar,Caprimulgus longipennis,Dermot Breen,2016-03-14,2016,4.78,27,Africa
92401581,European Robin,Erithacus rubecula,Oksana Vashchuk,2018-03-19,2018,4.78,23,Europe
150014911,Lesser Spotted Woodpecker,Dryobates minor,Sergo Travelian,2019-04-05,2019,4.78,23,Europe
62533751,Black-tailed Godwit,Limosa limosa,Mouser Williams,2017-06-26,2017,4.78,41,Europe
230028111,Little Grebe,Tachybaptus ruficollis,Laurent Esselen,2018-12-15,2018,4.78,40,Asia
51410041,Secretarybird,Sagittarius serpentarius,Christopher Gilbert,2017-03-09,2017,4.78,49,Africa
445295731,Pied-billed Grebe,Podilymbus podiceps,Peter Lypkie,2022-05-07,2022,4.78,60,North America
571133271,White-winged Tern,Chlidonias leucopterus,Kalong Huang,2023-05-13,2023,4.78,83,Asia
322201371,Great Cormorant,Phalacrocorax carbo,Bethan Clyne,2021-04-02,2021,4.78,27,Europe
139345251,Blue-throated Mountain-gem,Lampornis clemenciae,Alex Eberts,2019-02-04,2019,4.78,63,North America
343565801,Vermilion Flycatcher,Pyrocephalus rubinus,Michel Bourque,2021-05-29,2021,4.78,60,North America
507716041,Arctic Loon,Gavia arctica,דניאל ושני סלוצקי,2022-11-25,2022,4.78,23,Asia
498644301,Little Bunting,Emberiza pusilla,Yotam Lehnardt,2022-10-29,2022,4.77,22,Asia
157470851,Whinchat,Saxicola rubetra,Tatyana Korzhitskaya,2019-05-04,2019,4.77,26,Europe
388488781,Rainbow Bee-eater,Merops ornatus,Harry Davis,2021-11-12,2021,4.77,31,Australia
364321201,Wire-tailed Swallow,Hirundo smithii,Afsar Nayakkan,2021-08-22,2021,4.77,35,Asia
63136291,Spectacled Guillemot,Cepphus carbo,Tony Palliser,2017-06-18,2017,4.77,22,Asia
389477281,Snowy Owl,Bubo scandiacus,Diego Montenegro,2021-11-20,2021,4.77,44,Europe
526563551,Eurasian Curlew,Numenius arquata,J. Marcos Benito,2023-01-21,2023,4.77,48,Africa
615916531,White-crowned Wheatear,Oenanthe leucopyga,Ali Atahan,2024-03-11,2024,4.77,31,Asia
133922331,Great Tit,Parus major,Piet Grasmaijer,2018-12-19,2018,4.77,44,Europe
322779821,White-rumped Munia,Lonchura striata,Yung-Kuan Lee,2021-04-04,2021,4.77,26,Asia
465072141,Aplomado Falcon,Falco femoralis,Damián Ganime,2022-06-05,2022,4.77,22,South America
90096041,Tufted Coquette,Lophornis ornatus,Pam Rasmussen,2018-03-04,2018,4.77,22,South America
432760331,Long-tailed Duck,Clangula hyemalis,Sean Kennedy,2022-04-06,2022,4.77,56,North America
545009911,Western Orphean Warbler,Curruca hortensis,Javi Jiménez,2022-07-11,2022,4.77,22,Europe
26999681,Gray-headed Chickadee,Poecile cinctus,Batmunkh Davaasuren,2016-04-11,2016,4.77,26,Asia
51807291,Bald Eagle,Haliaeetus leucocephalus,Tony V,2017-03-20,2017,4.77,99,North America
615085174,Spotted Owlet,Athene brama,Ksheetij Pandey,2024-02-19,2024,4.77,26,Asia
549882061,Bar-tailed Godwit,Limosa lapponica,Brendan Tucker,2023-03-26,2023,4.77,26,Australia
278234521,Budgerigar,Melopsittacus undulatus,Elliot Leach,2020-08-18,2020,4.77,56,Australia
360921781,Rufous-throated Dipper,Cinclus schulzii,Alejandro Sandoval,2021-08-07,2021,4.77,35,South America
312449381,Great Horned Owl,Bubo virginianus,Jean Smith,2021-02-28,2021,4.77,53,North America
429100171,Crested Tit,Lophophanes cristatus,Fernando del Valle,2021-06-13,2021,4.77,47,Europe
75486701,Long-eared Owl,Asio otus,Heiko Heerklotz,2017-11-18,2017,4.77,22,Europe
275497941,Eurasian Hobby,Falco subbuteo,Dijeesh V,2020-10-27,2020,4.77,22,Asia
455563661,Indian Scops-Owl,Otus bakkamoena,Ananyaa Dobhal,2022-06-01,2022,4.77,22,Asia
268789321,Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,Ezequiel Vivas,2020-10-03,2020,4.77,47,South America
289977651,Spotted Rail,Pardirallus maculatus,Victor Stoll,2020-12-21,2020,4.77,56,North America
464131391,Rose-crowned Fruit-Dove,Ptilinopus regina,Michelle Edmonds,2022-07-02,2022,4.77,39,Australia
261803641,Square-tailed Kite,Lophoictinia isura,Homer Ford,2020-09-11,2020,4.76,29,Australia
609537649,Wood Sandpiper,Tringa glareola,Javier Gómez González,2022-08-20,2022,4.76,21,Europe
613237588,Northern Waterthrush,Parkesia noveboracensis,Richard Bonser,2024-01-07,2024,4.76,25,Europe
130412811,Tibetan Sand-Plover,Anarhynchus atrifrons,mathew thekkethala,2018-12-21,2018,4.76,29,Asia
107191301,Gray Heron,Ardea cinerea,Sean Sime,2018-06-30,2018,4.76,37,Europe
95443881,Barred Warbler,Curruca nisoria,Huw Roberts,2018-04-14,2018,4.76,29,Asia
517533991,Pine Bunting,Emberiza leucocephalos,Sanja JZ,2022-12-28,2022,4.76,21,Europe
410585721,Iberian Green Woodpecker,Picus sharpei,Paco Torralba,2022-01-28,2022,4.76,21,Europe
375748921,European Stonechat,Saxicola rubicola,Paulo Domingues,2021-10-03,2021,4.76,29,Europe
323833701,Long-tufted Screech-Owl,Megascops sanctaecatarinae,Giselle Mangini,2021-04-01,2021,4.76,34,South America
548396811,Black Woodpecker,Dryocopus martius,Olaf Solbrig,2023-03-15,2023,4.76,29,Europe
429544801,Eurasian Blackcap,Sylvia atricapilla,Alan Wilkinson,2022-03-28,2022,4.76,29,Europe
166214251,Great Spotted Cuckoo,Clamator glandarius,Carl  Hawker,2019-06-29,2019,4.76,29,Europe
417964001,Gray Noddy,Anous albivitta,Jacob Crisp,2022-02-20,2022,4.76,34,Australia
140302261,Red-billed Pigeon,Patagioenas flavirostris,Luke Tiller,2019-02-07,2019,4.76,63,North America
346568631,Pearly-vented Tody-Tyrant,Hemitriccus margaritaceiventer,Pablo Mealla,2021-06-09,2021,4.76,21,South America
178630201,Pechora Pipit,Anthus gustavi,JingZu Tu,2019-09-23,2019,4.76,38,Asia
69526571,Strange-tailed Tyrant,Alectrurus risora,Diego Carús,2017-09-11,2017,4.76,29,South America
537401831,Greater Flameback,Chrysocolaptes guttacristatus,Vishnu T,2023-02-19,2023,4.76,29,Asia
204134441,White-browed Tit-Warbler,Leptopoecile sophiae,Tom Heijnen,2018-05-17,2018,4.76,25,Asia
50953961,Plum-headed Parakeet,Psittacula cyanocephala,Suzanne Cholette,2017-02-07,2017,4.76,25,Asia
219661981,Blue-gray Tanager,Thraupis episcopus,B Marín,2020-03-20,2020,4.76,55,South America
95130601,Whinchat,Saxicola rubetra,Josip Turkalj,2018-04-18,2018,4.76,29,Europe
83949381,Gouldian Finch,Chloebia gouldiae,Kym Nicolson,2018-01-29,2018,4.76,21,Australia
167473601,Amethyst Woodstar,Calliphlox amethystina,Myles McNally,2019-06-23,2019,4.76,33,South America
230310511,Brant,Branta bernicla,Serena Pedane,2020-04-27,2020,4.76,88,North America
498140391,Fork-tailed Flycatcher,Tyrannus savana,Julie Gidwitz,2022-10-27,2022,4.76,63,North America
48533621,Great Blue Heron,Ardea herodias,Linda Chittum,2016-12-23,2016,4.76,155,North America
493032871,Pectoral Sandpiper,Calidris melanotos,Marcel Gil Velasco,2022-10-09,2022,4.76,29,Europe
369374801,Vernal Hanging-Parrot,Loriculus vernalis,Mangesh Prabhulkar,2021-09-08,2021,4.76,21,Asia
506893181,Great Pampa-Finch,Embernagra platensis,Claudio Rosso,2022-10-14,2022,4.75,24,South America
33886011,Northern Pygmy-Owl,Glaucidium gnoma,David de Rivera Tønnessen,2016-06-27,2016,4.75,76,North America
287080971,Northern Wheatear,Oenanthe oenanthe,Burhan Başak,2020-10-10,2020,4.75,53,Asia
48817151,Great Horned Owl,Bubo virginianus,Roger Reets,2017-02-19,2017,4.75,95,North America
416386881,Tawny Owl,Strix aluco,Radek Papranec,2022-02-15,2022,4.75,60,Europe
500711951,Hen Harrier,Circus cyaneus,You-Sheng Lin,2022-11-05,2022,4.75,83,Asia
456076011,Painted Bush-Quail,Perdicula erythrorhyncha,Harish Babu M,2022-06-02,2022,4.75,52,Asia
132622801,Satyr Tragopan,Tragopan satyra,Soar Excursions,2018-04-28,2018,4.75,28,Asia
415993361,Bald Eagle,Haliaeetus leucocephalus,Suzy Deese,2022-02-06,2022,4.75,65,North America
400329251,Long-billed Pipit,Anthus similis,Karan Matalia,2021-12-18,2021,4.75,79,Asia
191208561,Pale-headed Rosella,Platycercus adscitus,Michael Hatton,2019-10-06,2019,4.75,36,Australia
121277031,Brazilian Merganser,Mergus octosetaceus,Carlos Goulart,2018-10-18,2018,4.75,24,South America
197841141,Long-tailed Shrike,Lanius schach,Soumen Roy Chowdhury,2020-01-05,2020,4.75,28,Asia
177754641,Montagu's Harrier,Circus pygargus,Harish Thangaraj,2019-01-19,2019,4.75,28,Asia
50202101,Tundra Bean-Goose,Anser serrirostris,Santanu Manna,2017-01-29,2017,4.75,32,Asia
84197991,Purple Honeycreeper,Cyanerpes caeruleus,Mike  Hudson,2017-05-20,2017,4.75,24,South America
239258521,Hawfinch,Coccothraustes coccothraustes,Guillermo López Zamora,2018-03-23,2018,4.75,44,Europe
507342391,Marbled Duck,Marmaronetta angustirostris,Juan Ramírez,2022-11-26,2022,4.75,24,Europe
118431721,Spotted Flycatcher,Muscicapa striata,Bruce Kerr,2018-10-08,2018,4.75,24,Europe
31665681,Masafuera Rayadito,Aphrastura masafuerae,Héctor Gutiérrez Guzmán,2016-02-06,2016,4.75,61,South America
624977029,Fuegian Snipe,Gallinago stricklandii,Benjamin Gallardo,2024-10-12,2024,4.75,57,South America
616370467,Cretzschmar's Bunting,Emberiza caesia,Noah Isakov,2024-03-23,2024,4.75,24,Asia
146665251,Eastern Spot-billed Duck,Anas zonorhyncha,John Martin,2019-02-21,2019,4.75,24,Asia
388385331,Snow Goose,Anser caerulescens,Dominique Blanc,2021-11-14,2021,4.75,118,North America
187796281,Mallard,Anas platyrhynchos,Francois Dubois,2019-11-10,2019,4.75,129,North America
162983971,Cerulean Warbler,Setophaga cerulea,Sebastian Jones,2019-06-06,2019,4.75,68,North America
78285621,Australasian Grass-Owl,Tyto longimembris,Ivor Preston,2017-12-13,2017,4.75,24,Australia
233545491,Western Flycatcher (Pacific-slope),Empidonax difficilis [difficilis Group],Cameron Tescher,2020-05-11,2020,4.75,69,North America
616390858,Ground Parrot,Pezoporus wallicus,Veeraj Sharma,2024-03-23,2024,4.75,28,Australia
284437791,Ground Parrot (Eastern),Pezoporus wallicus wallicus,Cheryl and Graham Ponter,2020-12-01,2020,4.75,53,Australia
141131751,Black Drongo,Dicrurus macrocercus,George Kuriakose  Basil,2019-02-17,2019,4.75,24,Asia
529072441,European Storm-Petrel,Hydrobates pelagicus,Carla Palricas,2023-01-28,2023,4.75,24,Europe
529969271,Red Kite,Milvus milvus,Victor & Sophie,2023-01-22,2023,4.75,32,Europe
58737651,Indigo Bunting,Passerina cyanea,James Kinderman,2017-05-20,2017,4.75,205,North America
575267611,Eurasian Oystercatcher,Haematopus ostralegus,Andreas Fery,2023-05-21,2023,4.75,24,Europe
67818791,Snowy Sheathbill,Chionis albus,Nicholas Fordyce - Birding Africa,2015-03-30,2015,4.74,23,Antarctica
176008221,Agami Heron,Agamia agami,Isaias Soliz +502 3047 5583 www.voltanadventures.com,2019-09-03,2019,4.74,66,North America
308003261,Short-eared Owl,Asio flammeus,Miguel Arribas Tiemblo,2021-02-15,2021,4.74,74,Europe
300744721,Black Phoebe,Sayornis nigricans,Tim Swain,2021-01-23,2021,4.74,72,North America
336930211,Eurasian Crag-Martin,Ptyonoprogne rupestris,Aitor Zabala,2021-05-11,2021,4.74,46,Europe
316787051,Brown Goshawk,Tachyspiza fasciata,Michael Drake,2021-03-15,2021,4.74,50,Australia
102514241,Blackburnian Warbler,Setophaga fusca,Tom Auer,2018-05-28,2018,4.74,103,North America
316521801,Dartford Warbler,Curruca undata,Rui Jorge,2021-03-14,2021,4.74,50,Europe
333266771,Short-eared Owl,Asio flammeus,Fernando Jubete Guzon,2021-05-02,2021,4.74,61,Europe
191584441,Barbary Partridge,Alectoris barbara,Antonio Jesús Sepúlveda,2019-12-05,2019,4.74,35,Europe
169028261,Indian Yellow-nosed Albatross,Thalassarche carteri,Peter Carr,2019-07-21,2019,4.74,34,Australia
527364871,Caspian Gull,Larus cachinnans,Oliver Perez Amas,2023-01-22,2023,4.74,35,Europe
596250621,Dunnock,Prunella modularis,Sergio Hoces lucena,2023-05-28,2023,4.74,27,Europe
110084431,Demoiselle Crane,Anthropoides virgo,Justin Peter,2018-03-02,2018,4.74,38,Asia
33587421,Variegated Tinamou,Crypturellus variegatus,Leon Moore,2016-08-24,2016,4.74,23,South America
148546221,Osprey,Pandion haliaetus,Juan Figueroa Castillo,2019-03-31,2019,4.74,35,South America
291370251,Malabar Lark,Galerida malabarica,Harshith JV,2020-12-18,2020,4.74,34,Asia
181627841,Streak-breasted Scimitar-Babbler,Pomatorhinus ruficollis,Sumanta Pramanick,2019-04-15,2019,4.74,31,Asia
183797061,Oriental Skylark,Alauda gulgula,amaljith c k,2019-10-08,2019,4.74,31,Asia
146959011,Malaysian Rail-babbler,Eupetes macrocerus,Kimberly Arnold,2019-03-22,2019,4.74,31,Asia
183922881,Bush Thick-knee,Burhinus grallarius,Daniel S.,2019-10-22,2019,4.74,23,Australia
111050781,Western Swamphen,Porphyrio porphyrio,MERCIER Christophe,2018-08-15,2018,4.74,23,Europe
320315191,European Stonechat,Saxicola rubicola,Jorge  Safara,2021-03-25,2021,4.74,23,Europe
491939461,Audouin's Gull,Ichthyaetus audouinii,Sean Sparrow,2022-10-09,2022,4.74,38,Europe
281563301,Short-eared Owl,Asio flammeus,Jeff Wahl,2020-11-21,2020,4.74,135,North America
608606352,Eurasian Goshawk,Astur gentilis,Ernesto  Orellana Avilés,2023-09-08,2023,4.74,27,Europe
116188431,Connecticut Warbler,Oporornis agilis,Max  Chalfin-Jacobs,2018-09-23,2018,4.73,74,North America
625011485,Yellow Rail,Coturnicops noveboracensis,Michael Hochstetler,2024-10-15,2024,4.73,84,North America
261109361,Square-tailed Kite,Lophoictinia isura,Donna Hall,2020-09-08,2020,4.73,30,Australia
74245081,Great Horned Owl,Bubo virginianus,Ryan Claar,2017-11-05,2017,4.73,116,North America
385501771,Pine Grosbeak,Pinicola enucleator,Andrew Barski,2021-11-05,2021,4.73,22,Europe
60883001,Eurasian Sparrowhawk,Accipiter nisus,Seppo Niemispelto,2017-06-06,2017,4.73,22,Europe
319204561,Eastern Bonelli's Warbler,Phylloscopus orientalis,Dimitris  Kokkinidis,2021-03-23,2021,4.73,22,Europe
622577475,Atlantic Puffin,Fratercula arctica,Rachel Baum,2024-06-28,2024,4.73,30,Europe
614875009,Peregrine Falcon (Shaheen),Falco peregrinus peregrinator,Shamik Sathe,2024-02-16,2024,4.73,26,Asia
165622261,Common Wood-Pigeon,Columba palumbus,Andrew E and Rebecca A Steinmann,2019-06-24,2019,4.73,49,Europe
60726371,European Storm-Petrel,Hydrobates pelagicus,Jesús Mari Lekuona Sánchez,2017-06-10,2017,4.73,26,Europe
463660411,Galah,Eolophus roseicapilla,Ben Johnson,2022-06-30,2022,4.73,22,Australia
29896481,Emperor Penguin,Aptenodytes forsteri,Rodrigo Tapia,2016-06-04,2016,4.73,81,South America
196662001,White-shouldered Ibis,Pseudibis davisoni,Larry Chen,2019-12-26,2019,4.73,22,Asia
380796361,Grass Wren,Cistothorus platensis,Ariel Pulgar-Hughes,2021-10-09,2021,4.73,44,South America
94379711,Pileated Woodpecker,Dryocopus pileatus,Alan Hingston,2018-04-10,2018,4.73,73,North America
56741281,Great Slaty Woodpecker,Mulleripicus pulverulentus,Kai Soon Chan,2017-05-01,2017,4.73,26,Asia
86764051,Striated Thornbill,Acanthiza lineata,Mark Bennett,2018-01-06,2018,4.73,26,Australia
267722931,Western Yellow Wagtail (flava),Motacilla flava flava,Álvaro García Martín,2020-10-03,2020,4.73,30,Europe
487058031,Many-colored Rush Tyrant,Tachuris rubrigastra,Pamela Arias Alessandrini,2022-09-11,2022,4.73,51,South America
73982991,Bare-faced Go-away-bird,Crinifer personatus,Daryl Dell,2017-10-10,2017,4.73,22,Africa
56153091,Eurasian Hoopoe (African),Upupa epops africana,David Guarnieri,2017-04-29,2017,4.73,22,Africa
58569811,Rook,Corvus frugilegus,Stephen Altic,2016-10-26,2016,4.73,51,Europe
104023951,Blue Rock-Thrush,Monticola solitarius,Antonio Ceballos Barbancho,2018-06-09,2018,4.73,52,Europe
95041301,Secretarybird,Sagittarius serpentarius,Kurt Hennige,2018-04-06,2018,4.73,37,Africa
362398681,Great Gray Shrike (Sahara),Lanius excubitor [elegans Group],Matthew Mellor,2021-08-11,2021,4.73,22,Africa
522217961,Spanish Sparrow,Passer hispaniolensis,Julia Wittmann,2022-02-14,2022,4.73,22,Africa
